CUT,IN,OUT,"DUR
(F)","DUR
(s)",ACTION,SYNC,SET,s,w,k,t,DESCRIPTION,MEMO,HS,EX
D_3,4588,4988,400,16.7,4339,,12,,o,,,[K]コロコロをかけていると落ちている紙に気づき、それを拾い上げる。,"以下、D3,D4を除いて、服が床に落ちている。",,
D_4,4588,4988,400,16.7,4339,o,12,,,,o,[T]、机に向かって座っているが、ヘッドホンをおいて画面手前に向かって歩いてくる。そこに扇風機が置いてあり、それに向かって、「掴んだもの」の部分を歌う。,,,
D_5,4588,4988,400,16.7,4339,,12,,,o,,[W]、机の上の紙を手に取り見る。また机の上にそれを置き、ギターを背負いながら上手に歩いて行く。,,,
2M_1,4987,5179,192,8.0,4826,,13,o,o,o,o,皆それぞれの楽器の準備をしている。[T]は、スカートをギュッと掴んで、少しうつむき加減。,スモークを炊く。他のシーンよりもライト落とす。,o,
2M_3,5312,5504,192,8.0,5068,,14,o,o,o,o,メンバーが横一列に並んでいる。カメラが引き切る直前くらいに、それぞれの立ち位置に歩いて行く。,,o,
2M_2,5312,5632,320,13.3,5068,,14,,,,,メンバーは誰もおらず、モノだけが置いてある。,,,
ラスサビ,,,,,,,,,,,,,,,
3S_1,5573,5909,336,14.0,5231,o,13,o,o,o,o,全員で演奏シーン。右前[W]、左前[T]、左奥[S]、右奥[K]。,「明日のために...」,,
3S_2,5900,6236,336,14.0,5738,o,13,o,o,o,o,全員で演奏シーン。右前[W]、左前[T]、左奥[S]、右奥[K]。,「それは」,,
3S_3,6248,6873,625,26.0,6062,o,13,o,o,o,o,全員で演奏シーン。右前[W]、左前[T]、左奥[S]、右奥[K]。,「そしてまた今夜ここで眠ろう - 共に行こう」 でトラックバックから切り返してトラックイン,,
3S_4,6248,6873,625,26.0,6062,o,13,o,o,o,o,全員で演奏シーン。右前[K]、左前[W]、左奥[T]、右奥[S]。,「そしてまた今夜ここで眠ろう - 共に行こう」 でトラックバックから切り返してトラックイン,o,
3S_5,6248,6873,625,26.0,6062,o,13,o,o,o,o,全員で演奏シーン。右前[S]、左前[K]、左奥[W]、右奥[T]。,「そしてまた今夜ここで眠ろう - 共に行こう」 でトラックバックから切り返してトラックイン,o,
3S_6,6248,6873,625,26.0,6062,o,13,o,o,o,o,全員で演奏シーン。右前[T]、左前[S]、左奥[K]、右奥[W]。,「そしてまた今夜ここで眠ろう - 共に行こう」 でトラックバックから切り返してトラックイン,o,
3S_ex2,,,168,7.0,,,13,,,,,左右方向に行き交う,,o,
3S_ex1,,,312,13.0,,,13,,,,,証明のフチに立っているだけ,,,
アウトロ,,,,,,,,,,,,,,,
O_1p,0,0,-,-,0,,13,o,o,o,o,机上に置かれた紙に手をおく x メンバー4人,,o,
O_2p,0,0,-,-,0,,13,o,o,o,o,"半身の状態 ウェストショット, 顎から下だけ x メンバー4人",,o,
O_3p,0,0,-,-,0,,13,o,o,o,o,椅子から立ち上がる x メンバー4人,,o,
O_4p,0,0,-,-,0,,13,o,o,o,o,姿見に映り込む x メンバー4人,,o,
O_5,0,0,-,-,0,,13,,,,,モノがおいてある状態の空絵,,,
O_b_member,0,0,-,-,0,,13,o,o,o,o,残像. 自由に移動してもらっている所 x 18F,,,
O_b_light,0,0,-,-,0,,13,o,o,o,o,すべて照明を落とした状態で、スマートフォンを降る 軌跡を残す x 12F,(加算合成),,
